user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase
2,46,Male,Mobile,15.63000011,9,4,6,1,1,1,19.17000008,86.73000336,1
5,38,Female,Mobile,26.35000038,9,12,4,1,0,0,18.14999962,55.34999847,1
6,56,Female,Desktop,26.60000038,1,12,7,1,1,0,28.39999962,13.89999962,1
7,36,Male,Mobile,7.599999905,11,11,6,1,1,1,4.510000229,13.11999989,1
8,40,Female,Mobile,26.97999954,7,5,2,1,0,0,33.34000015,12.60999966,1
9,28,Female,Mobile,10.89999962,14,7,9,0,0,1,13.80000019,85.45999908,1
10,28,Female,Mobile,9.970000267,3,14,8,0,0,0,14.11999989,14.15999985,1
11,41,Female,Tablet,22.07999992,11,14,4,1,1,0,23.43000031,80.84999847,1
12,53,Female,Mobile,9.840000153,17,6,2,1,0,0,5.96999979,84.47000122,1
13,57,Male,Desktop,2.539999962,18,6,6,0,0,1,3.369999886,10.5,1
14,41,Male,Desktop,11.82999992,19,0,3,1,1,1,9.630000114,90.19999695,1
15,20,Female,Desktop,21.92000008,18,2,0,1,0,0,30.68000031,89.75,1
16,39,Male,Mobile,10.47999954,6,2,4,0,1,0,15.48999977,63.81999969,1
18,41,Female,Mobile,20.13999939,7,11,3,1,0,0,11.73999977,64.73000336,1
19,47,Female,Desktop,22.28000069,5,13,6,1,0,1,31.13999939,40.47999954,1
20,55,Female,Mobile,27.02000046,5,1,7,1,0,0,37.79999924,58.86999893,1
22,38,Female,Mobile,5.829999924,12,6,8,1,1,0,8.090000153,11.32999992,1
23,50,Male,Desktop,10.25,8,8,4,0,0,0,14.65999985,23.37999916,1
24,29,Male,Mobile,13.52999973,18,0,5,1,0,1,14.27999973,52.40999985,1
25,39,Male,Mobile,21.70000076,18,11,6,1,0,1,25.75,25.86000061,1
26,42,Female,Mobile,1.379999995,17,13,9,0,0,1,1.539999962,99.27999878,1
28,59,Female,Desktop,23.62000084,15,10,8,1,0,0,22.11000061,43.40000153,1
29,45,Female,Mobile,20.45000076,6,5,0,0,1,1,24.15999985,90.26999664,1
30,33,Female,Desktop,22.21999931,12,1,5,1,1,1,24.67000008,14.43999958,1
31,32,Female,Mobile,24.54000092,7,13,5,0,1,0,17.54999924,28.79000092,1
32,20,Female,Mobile,23.70999908,8,11,6,0,1,1,33.43000031,95.58999634,1
34,24,Male,Mobile,13.75,3,4,5,0,1,1,7.820000172,92.06999969,1
37,56,Male,Mobile,6.880000114,15,12,7,0,1,1,6.119999886,57.65000153,1
40,42,Male,Mobile,27.81999969,8,2,6,0,1,0,22.55999947,44.68000031,1
41,31,Male,Mobile,6.179999828,18,3,4,1,0,0,8.539999962,15.32999992,1
42,26,Male,Mobile,3.390000105,5,3,6,1,0,1,3.430000067,65.25,1
43,43,Female,Mobile,26.55999947,7,14,2,1,0,1,35.18999863,0.419999987,1
45,37,Female,Desktop,9.020000458,19,11,5,0,1,1,10.52000046,92.91000366,1
47,24,Male,Desktop,20.14999962,19,12,1,0,1,0,27.42000008,80.37999725,1
48,25,Male,Desktop,10.56999969,4,3,1,1,1,0,15.26000023,14.11999989,1
49,52,Male,Desktop,26.44000053,7,3,6,1,1,0,31.39999962,52.02999878,1
50,31,Female,Mobile,4.119999886,6,5,0,1,0,1,2.660000086,71.91000366,1
51,34,Male,Mobile,2.099999905,14,8,8,1,0,0,2.029999971,10.11999989,1
52,53,Male,Mobile,7.050000191,19,9,2,0,1,1,6.800000191,14.69999981,1
53,57,Male,Desktop,9.300000191,11,5,5,1,0,0,12.36999989,4.010000229,1
54,21,Female,Mobile,4.269999981,7,5,2,1,1,0,4.099999905,32.31000137,1
55,19,Female,Desktop,2.910000086,3,6,8,0,0,1,2.420000076,87.73000336,1
57,59,Female,Mobile,5.760000229,11,0,6,1,0,1,6.610000134,85.33000183,1
58,21,Female,Mobile,27.5,15,7,0,1,0,0,36.02000046,8.369999886,1
60,35,Female,Mobile,20.45000076,15,14,4,0,0,0,28.42000008,80.38999939,1
61,43,Female,Mobile,7.539999962,17,8,6,0,0,1,8.5,49.77999878,1
62,51,Male,Desktop,7.96999979,11,13,6,0,1,0,8.159999847,47.09000015,1
63,27,Male,Mobile,17.67000008,12,13,4,0,1,1,22.98999977,47.56000137,1
65,31,Female,Desktop,23.29000092,11,3,4,1,1,1,29.29999924,88.63999939,1
66,48,Female,Desktop,22.97999954,11,8,4,0,0,1,23.12000084,52.09999847,1
67,32,Female,Mobile,20.45000076,9,7,3,1,0,0,12.75,97.38999939,1
69,31,Male,Mobile,26.82999992,4,14,7,0,0,1,30.80999947,73.76000214,1
70,40,Male,Mobile,19.04999924,2,13,9,0,1,1,11.10000038,63.61999893,1
71,57,Male,Mobile,29.71999931,4,5,4,0,1,1,28.23999977,83.51999664,1
72,38,Male,Mobile,24.76000023,14,8,7,1,0,1,24.43000031,88.16999817,1
74,35,Male,Mobile,10.30000019,17,2,2,1,1,0,12.14000034,35.97000122,1
76,43,Female,Mobile,21.92000008,6,7,3,1,0,1,11.69999981,22.12999916,1
77,42,Male,Mobile,16.95999908,12,1,2,1,0,1,21.95000076,58.61999893,1
78,58,Female,Desktop,23.79999924,15,11,2,0,0,1,35.25999832,78.05000305,1
80,32,Male,Mobile,6.329999924,10,8,7,0,0,1,6.340000153,40.20000076,1
